"year","emissions","municipality","surface","compactness","demand","gas_consume","electricity_consume","diesel_consume","eco_consume","co2","energy"
"2003","34.11","LA GARRIGA","115","1.15","118.94","130.21","3.92","0","162.6","D","E"
"1930","52.87","Viladecavalls","89.52","0.94","169.04","178.43","23.71","0","258.99","E","E"
"2004","103.18","Corbera de Llobregat","114.6","0.86","220.96","0","2.8","328.79","393.11","G","G"
"1982","59.41","Canovelles","211.19","0.85","229.94","180.69","24.36","0","273.61","E","F"
"1880","43.02","OLESA DE MONTSERRAT","154","2.48","132.42","0","129.98","0","253.99","E","E"
"1970","43.54","Castellar del Vallès","195.91","1.14","154.05","0","12.5","0","211.88","E","E"
"1985","62.01","Barcelona ","153.12","1.04","192.19","243.07","2.27","0","293.69","E","F"
"2010","5.65","Olivella","75.61","0.97","159.99","0","5.93","0","29.02","A","A"
"2007","42.23","OLIVELLA","135.14","0.81","167.27","0","127.57","0","249.27","E","E"
"1880","43.02","OLESA DE MONTSERRAT","154","2.48","132.42","0","129.98","0","253.99","E","E"
"1972","64.42","Esparreguera","45","0.68","217.46","172.59","5.1","0","306.32","F","F"
"1980","67.11","Bigues i Riells","25.61","0.62","299.1","0.1","117.01","0","353.34","F","G"
"1980","66.27","Cànoves i Samalús","74","0.79","231.14","222.9","1.98","0","313.75","F","F"
"2005","50.29","Gualba","100.8","0.96","173.1","0","3.84","150.69","189.24","E","E"
"1978","63.56","Sant Vicenç dels Horts","181.29","1.27","214.57","78.8","64.57","0","325.53","F","G"
"1985","61.72","MALGRAT DE MAR","95","1.71","190.67","239.05","3.7","0","293.2","E","F"
"1984","84.42","Matadepera","81","1.52","221.46","334.55","0","0","398.76","F","F"
"1923","51.73","Cerdanyola del Valles","71.7","1.3","184.75","0","30.43","0","257.28","E","E"
"1992","40.99","Sant Cugat del Vallés","360","1.6","128.02","159.44","0","0","194.55","E","E"
"1997","59.72","L´Hospitalet de Llobregat","107","6.05","198.27","232.71","3.25","0","283.27","E","F"
"1986","28.51","Rubí","133.5","2.83","77.32","110.06","0","0","135.55","D","D"
"1900","67.4","Olesa de Montserrat","97.69","2.14","135.06","265.89","1.19","0","318.74","F","F"
"1905","33.33","Castellbell i el Vilar","160","2.11","119.9","103.94","21.55","0","165.8","D","E"
"1900","72.34","Canet de Mar","55.35","1.3","252.24","0","66.08","0","368.38","F","G"
"1981","63.83","OLIVELLA","117.6","0.99","158.89","0","0.15","204.73","242.31","F","E"
"1967","49.5","Masquefa","82","1.51","162.94","0","0","0","234.1","E","E"
"1992","37.18","Sant Cugat del Vallés","405","1.82","115.72","144.33","0.76","0","176.52","E","E"
"2001","36.57","CARDEDEU","130.88","2.11","113.52","142.09","2.3","0","173.58","E","E"
"1995","82.63","L'Ametlla del Vallès","123.27","1.34","207.82","0","0","263.25","314.86","G","F"
"2001","32.3","Sant Cugat del Vallés","198","1.23","150.37","19.82","82.49","0","184.76","D","E"
"1900","74.4","Vilassar de Dalt","92","1.3","196.66","285.49","7.44","0","354.26","F","G"
"1890","95.34","La Llacuna","197.64","1.28","242.4","27.42","42.94","238.64","397.89","G","F"
"1956","67.09","Barcelona ","51.78","0.89","235.21","0","57.44","0","340.38","F","G"
"1988","31.71","Arenys de Mar","90","2.2","99.62","122.55","0","0","150.73","D","D"
"1988","20.13","Sabadell","248","8.31","62.58","77.19","2.05","0","95.87","C","C"
"2007","22.58","Tiana","172.18","3.03","74.93","73.63","9.99","0","111.38","C","D"
"1983","49.03","Polinyà","111","1.23","175.15","190.94","2.77","0","232.63","E","E"
"2006","26.8","Premià de Dalt","121","1.17","126.12","21.78","64.38","0","151.71","D","D"
"1900","53.09","Terrasa","118.5","1.94","164.75","184.14","17.79","0","258.58","E","E"
"1950","52.22","Moià","307","1.59","162.23","0","157.78","0","308.3","E","F"
"1972","49.23","Castellar del Vallès","103","1.48","158.75","192.49","0","0","233.34","E","E"
"1993","25.02","Barcelona ","261","3.26","67.66","95.78","2.66","0","119.18","D","D"
"2005","40.03","ALPENS","72.71","1.95","130.67","152.76","0","0","187.01","E","E"
"1987","50.15","Arenys de Munt","230.32","1.03","187.5","195.57","2.61","0","237.82","E","E"
"1979","96.45","Sant Fost de Campsentelles","100.34","0.83","245.7","0","1.05","305.5","368.66","G","G"
"2001","56.82","Sant Pol de Mar","115.86","0.58","205.83","45.73","0","0","270.86","E","E"
"1991","58.91","Lliçà d'Amunt","106.31","1.13","148.64","0","2.28","187.01","224.94","E","E"
"1903","28.25","Badalona","73.25","2.13","124.89","55.13","33.48","0","146.7","D","D"
"1979","69.01","La Torre de Claramunt","57.31","1","238.97","99.01","54.91","0","347.52","F","G"
"1965","51.66","Barcelona ","195.5","1.6","141.65","167.96","25.86","0","254.96","E","E"
"2014","17.35","El Masnou","175.5","2.07","76.3","67.19","1.25","0","82.4","C","C"
"2006","24.77","La Roca del Vallés","261.12","1.65","98.29","41.58","43.19","0","133.87","D","D"
"1975","13.57","Mediona","126","1.28","191.17","0","7.68","0","67.1","B","C"
"1910","27.02","Barcelona ","158","2.31","91.38","105.68","1.16","0","128.03","D","D"
"2000","82.19","CABRILS","146.45","1.12","254.96","321.92","0","0","389.37","G","G"
"1984","61.36","Badalona","175","1.35","151.9","240.24","2.49","0","290.75","E","F"
"1900","100.4","Navàs","53.43","0.99","203.18","0","0","319.92","382.53","G","G"
"1950","60.25","Vilafranca del Penedés","71.5","1.15","215.28","190.44","37.03","0","298.97","E","F"
"1970","43","Malgrat de Mar","48.17","0.85","179.44","0","0","0","201.2","E","E"
"1957","55.57","Viladecans","225","0.58","208.88","217.07","1.79","0","263.46","E","E"
"1904","45.45","Sabadell","95.57","1.84","156.99","0","50.48","0","235.14","E","E"
"1961","32.5","Castelldefels","44.66","0.86","218.53","0","98.2","0","191.88","D","E"
"2005","59.29","Tordera","103.3","0.78","187.2","0","0","189.08","225.78","E","E"
"1995","59.05","Viladecans","105.79","2.17","179.51","0","178.39","0","348.56","E","G"
"2006","45.58","Cabrils","144","1.36","167.74","179.49","1.04","0","215.63","E","E"
"1950","94.3","Balsareny","107.27","1.16","209.47","0","44.27","250.63","392.07","G","G"
"1969","9.54","Badalona","92.36","6.41","38.53","28.01","7.51","0","48.01","B","B"
"2005","59.74","Piera","144.28","0.89","212.43","183.83","40.53","0","297.94","E","F"
"1954","70.6","PUIG-REIG","119.7","0.87","223.47","270.56","7.3","0","336.23","F","G"
"1900","39.07","VILASSAR DE MAR","144.8","2.41","136.38","0","35.99","0","199.18","E","E"
"1998","26.51","Collbató","251","1.28","66.19","0","0.34","84.87","100.72","D","D"
"1986","42.69","ALELLA","104.09","1.95","131.97","166.82","1.97","0","202.36","E","E"
"1977","55.13","Sant Celoni","129.6","0.89","216.46","0","156.12","0","311.59","E","F"
"1953","41.52","Sabadell","80.75","2.53","143.52","102.98","47.04","0","214.46","E","E"
"1984","84.76","Sant Fost de Campsentelles","84","0.67","291.49","260.21","54.78","0","422.94","G","G"
"1885","65","Terrasa","127.67","1.25","202","0","196.38","0","383.72","E","F"
"1980","22.87","CASTELLBISBAL","69.114","1.03","104.51","70.56","14.08","0","113.99","D","D"
"1900","58.19","ARGENTONA","128.04","1.85","145.96","227.3","0","0","275.85","E","F"
"1971","87.22","Sant Fost de Campsentelles","92","0.57","330.21","184.2","119.88","0","460.04","G","G"
"1960","66.05","Barcelona ","54.02","1.04","220.58","81.69","0","0","313.92","F","F"
"1960","71.36","Taradell","65.62","0.96","237.7","278.51","0","0","338.36","F","G"
"1957","27.42","L´Hospitalet de Llobregat","52.24","2.01","104.11","0","49.69","0","149.08","D","D"
"1980","53.93","Caldes de Montbui","56.9","1.22","180.66","207.27","0","0","256.7","E","E"
"1951","64.2","Terrasa","138","1.42","230.25","0","34.83","0","318.34","E","E"
"1978","84.39","Terrasa","69","0.81","302.5","276.17","44.69","0","415.97","F","F"
"1970","68.68","Vic","83.78","1.35","210.4","272.5","0","0","324.31","E","E"
"2006","47.87","Rubí","102.65","1.18","149.28","186.48","2.66","0","227.1","E","E"
"2010","55.59","Piera","90.6","0.7","138","0","0","178.75","210.75","E","E"
"1984","105.34","Collbató","102.5","1.15","265.09","0","0","335.46","401.49","G","F"
"1900","48.1","Castellar del Vallés","106.49","1.79","117.96","190.87","0","0","227.13","E","E"
"2006","34.86","VALLROMANES","134.2","0.81","110.25","133.74","0","0","165.99","D","E"
"1960","74.15","Terrasa","104","1.16","246.05","290.8","0","0","351.2","E","E"
"2007","60.66","Lliçà d'Amunt","84","0.79","188.58","224.83","12.11","0","291.2","E","F"
"1979","56.73","Sant Quirze Safaja","102.5","1.24","180.58","0","144.97","0","324.62","E","G"
"1920","65.26","Santa Coloma de Gramanet","63.75","0.88","239.18","19.79","0","0","310.08","F","F"
"1957","52.45","Sabadell","69.23","0.91","182.56","0","0","0","248.8","E","E"
"1950","55.03","Barcelona ","120","1","137.97","215.01","0","0","260.84","E","E"
"1900","29.84","Viladecavalls","167.7","2.56","98.05","118.42","0","0","140.92","D","E"
"1998","43.56","SENTMENAT","130.73","0.79","196.64","0","3.49","136.36","167.57","E","E"
"1989","52.99","Castelldefels","266","1.28","177.96","203.28","4.3","0","250.95","E","E"
"1968","62.73","Sant Esteve de Sesrovires","61.02","1.03","231.57","0","15.96","0","305.37","E","F"
"1988","34.49","Teià","180.72","1.91","143.34","132.64","0","0","162.45","D","E"
"1995","44.54","Vallirana","144","1.81","139.89","172.17","3.49","0","211.7","E","E"
"2005","32.78","Palau-solità i Plegamans","158.43","0.73","181.08","0","93.88","0","193.52","D","E"
"1983","12.96","VACARISSES","165","2.65","39.52","2.15","37.52","0","75.87","B","C"
"1965","82.36","ÒDENA","99.77","0.9","292.75","43.59","0","0","390.82","F","F"
"1960","36.1","L´Hospitalet de Llobregat","46.8","4.91","129.61","56.57","66","0","196.29","E","E"
"2002","35.94","ARGENTONA","119.1","2.23","113.67","137.89","3.61","0","171.14","E","E"
"1971","56.93","Malgrat de Mar","107","1.49","179.74","218.79","5.42","0","270.95","E","E"
"1975","68.55","Corbera de Llobregat","163.2","1.15","150.69","0","3.68","216.5","262.45","F","E"
"1984","72.77","Matadepera","80.95","1.62","223.17","288.42","0","0","343.72","E","F"
"1977","66.06","Viladecans","192.46","1.28","233.61","225.89","2.98","0","313.18","F","F"
"1984","74.35","Matadepera","86","1.31","228.43","294.2","0","0","351.37","E","F"
"2003","83.99","SANT QUIRZE DEL VALLÈS","142.01","1.26","241.91","0","249.59","0","495.83","G","G"
"1969","69.02","Corbera de llobregat","74","0.83","223.2","0","0","0","327.97","F","G"
"1999","24.6","Sant Cugat del Vallés","172","2.14","78.48","93.47","0","0","117.41","D","D"
"1964","81.17","Sant Andreu de la Barca","80","0.71","283.92","315.06","5.36","0","385.39","G","G"
"1975","70.53","TORRELLES DE FOIX","84","0.74","178.62","0","0","223.56","269.47","F","E"
"1989","43.93","Cerdanyola del Valles","354","1.35","148.68","169.79","0","0","208.8","E","E"
"1954","65.84","Granollers","63","1.04","230.56","177.1","64.08","0","335.96","F","G"
"1960","56.51","Parets del Valles","81.95","0.82","186.17","218.95","4.04","0","268.46","E","E"
"1954","48.23","Premià de Mar","130","1.3","157.26","151.45","0","0","229.54","E","E"
"1997","47.22","Sant Esteve Sesrovires","158","1.15","146.73","184.64","0","0","223.81","E","E"
"1960","63.32","Pallejá","108.6","0.97","195.49","0","0.94","197.36","243.13","F","E"
"1900","32.71","Manresa","117","2.52","113.14","0","37.22","0","169.75","D","E"
"1930","53.53","Olesa de Montserrat","109","1.16","164.88","211.28","0","0","253.15","E","E"
"1989","39.75","Vilassar de Mar","191.02","2.1","125.35","152.61","3.9","0","189.23","E","E"
"1971","60.79","SANT PERE DE VILAMAJOR","159.28","1.15","158.65","0","0","193.52","231.72","E","E"
"2000","56.58","Cardedeu","111.34","1.53","179.91","215.75","0","0","269.79","E","E"
"1982","91.75","Sant Hipòlit de Voltregà","66.6","0.86","213","0","0","295.01","347.82","F","F"
"1950","58.58","Terrasa","85.07","1.12","204.32","232.17","0.22","0","276.71","E","E"
"2007","34.52","Bigues i Riells","208","1.01","83.36","0","8.63","101.82","136.91","D","D"
"1972","179.98","TORRE DE CLARAMUNT","131.07","0.89","217.98","0","0","573.51","685.74","G","G"
"1992","48.07","CALELLA","182.66","2.17","147.99","0","144.74","0","283.77","E","F"
"1903","48.56","Vilassar de Mar","89.6","1.01","177.35","34.01","0","0","231.91","E","E"
"2004","66.94","Cubelles","82.86","0.83","237.47","0","49.31","0","335.88","F","G"
"1984","84.06","Matadepera","83","1.08","257.84","333.12","0","0","397.07","F","F"
"1984","85.2","Matadepera","86","1.25","223.29","337.92","0","0","402.38","F","F"
"1984","78.82","Matadepera","86","1.19","241.78","312.4","0","0","372.34","F","F"
"1991","36.08","Mataró","217","1.18","109.61","0","17.16","94.18","151.13","E","D"
"1860","62.84","Badalona","98.3","1.52","233.94","0","121.07","0","344.83","F","G"
"2006","55.56","PUIG-REIG","330","1.58","151.94","204.43","11.92","0","267.02","E","F"
"2011","24.02","OLIVELLA","144","1.06","91.49","0","63.11","0","141.79","D","D"
"1996","57.84","Santa Perpetua de Mogoda","192.71","1.56","217.9","148.03","62.03","0","297.37","E","F"
"1978","90.15","SANT QUIRZE DE BESORA","66.85","0.85","231.95","44.5","0","253.78","352.23","F","F"
"1973","57.04","ESPARRAGUERA","76.32","1.56","142.18","221.07","4.03","0","270.95","E","F"
"1960","71.85","Avià","142.5","0.79","207.43","0","24.05","201.19","291.97","F","F"
"1960","32.52","Terrasa","180","1.65","115.02","0","17.83","0","160.56","E","E"
"1982","94.72","Lliça d'Amunt","62.86","0.76","282.34","0","232.46","0","539.52","G","G"
"1988","78.3","AMETLLA DEL VALLÈS","93.8","0.79","282.35","37.37","46.1","167.69","335.03","E","E"
"1992","35.92","Mollet del Vallés","92.63","1.11","82.33","0","2.75","112.58","138.12","E","D"
"1978","74.33","CALDES DE MONTBUI ","120.17","0.99","189.64","286.86","0","0","353.44","F","G"
"1984","85.61","Matadepera","86","1.25","224.35","339.55","0","0","404.31","F","F"
"1984","78.36","Matadepera","86","1.19","240.37","310.57","0","0","370.18","F","F"
"1963","70.02","Sant Vicenç dels Horts","181.92","0.94","217.05","274.47","2.58","0","331.66","F","G"
"1984","85.37","Matadepera","89","1.12","262.84","336.99","0","0","403.64","F","F"
"1984","79.13","Matadepera","89","1.25","243.89","312.07","0","0","374.27","F","F"
"1984","83.01","Matadepera","86","1.5","217.61","329.15","0","0","392.05","F","F"
"1978","96.55","Lliçà d'Amunt","70.88","0.67","341.79","274.65","82.59","0","488.21","G","G"
"1984","78.98","Matadepera","80","1.44","242.93","312.09","0","0","373.34","F","F"
"1988","41.56","Barcelona ","290","2.24","128.46","160.53","3.35","0","197.58","E","E"
"1987","118.67","POLINYA","178.79","0.83","365.62","468.18","0","0","561.22","G","G"
"1989","63.74","Cervello","130","1.09","201.73","244.36","0","0","303.57","F","F"
"2010","37.96","Castellar Vallés","157.25","0.89","125.74","149.34","0","0","179.65","E","E"
"1999","72.27","Sant Fost de Campsentelles","165","1.07","184.89","0","0","227.83","276.97","F","F"
"2003","33.49","Vilanova i la Geltrú","180.4","1.08","169.26","0","101.18","0","197.71","D","E"
"1940","73.27","Sant Vicenç de Montalt","178.75","4.52","265.35","284.19","5","0","347.97","F","G"
"1970","59.82","Barcelona ","60.61","1.05","194.76","212.8","18.71","0","289.79","E","F"
"2006","46.98","Capellades","102","1.06","140.91","163.48","0","0","222.72","E","E"
"1975","51.7","Sant Cebrià de Vallalta","130","1.33","144.63","0","0","159.61","200.36","E","E"
"1990","13.32","DOSRIUS","175","9.11","40.74","49.12","2.86","0","64.04","B","B"
"1900","65.97","Granollers","145.08","1.01","238.36","0","26.21","0","323.23","F","G"
"1935","90.24","Igualada","75.81","1","215.9","18.02","49.3","223.08","380.79","F","F"
"1988","69.54","Cervello","96.42","0.97","222.04","263.98","0","0","331.96","F","G"
"1900","47.48","Sabadell","276.05","1.72","170.91","19.18","0","0","225.88","E","E"
"1985","46.31","Teià","144","1.14","154.59","179.26","3.42","0","220.01","E","E"
"2008","15.11","LA GARRIGA","154.8","2.35","101.61","0","45.64","0","89.18","C","C"
"2008","15.11","LA GARRIGA","154.8","2.35","101.61","0","45.64","0","89.18","C","C"
"1999","49.93","Sant Vicneç de Montalt","208.71","2.53","123.85","196.57","1.19","0","236.24","E","E"
"2008","15.11","LA GARRIGA","154.8","2.35","101.61","0","45.64","0","89.18","C","C"
"1961","61.51","Santa Maria de Palautordera","86.21","1.2","211.98","0","70.36","0","319","E","G"
"1962","67.25","Sant Cugat del Vallés","111.64","0.94","175.87","0","31.52","182.69","276.99","F","F"
"1930","77.41","Mataró","89.5","1.69","190.02","0","113.14","0","412.02","G","G"
"2000","36.98","Igualada","178.4","1.76","114.86","146.04","0","0","174.86","E","E"
"2006","41.56","Òdena","159.3","2","116.05","139.94","19.02","0","203.69","D","E"
"2005","40.12","Canovelles","239","1.21","123.74","158.07","0","0","189.78","E","E"
"1972","94.1","TORDERA","81.41","0.78","238.21","365.18","0","0","446.81","G","G"
"2006","67.38","Terrasa","113.2","1.03","208.62","264.43","0","0","319.05","E","E"
"1910","5","Sabadell","428","45.14","18.31","15.71","3.15","0","24.84","A","A"
"1999","59.72","Barcelona ","239.7","1.12","147.24","236.1","0.67","0","282.26","E","F"
"1950","57.94","Terrasa","211.55","3.05","176.18","225.04","0","0","275.03","E","E"
"2002","48.83","SANTA EULALIA DE RONÇANA","93.3","0.93","148.97","0","122.76","0","279.2","E","F"
"1988","34.58","SANT SADURNÍ D'ANOIA","90","1.53","119.08","134.58","0.92","0","164.11","D","E"
"2016","29.45","Llinars del Vallès","185.1","1.19","78.51","0","0.09","94.59","111.7","D","D"
"1987","34.22","Sant Cugat del Vallés","260","1.73","125.43","23.65","0","0","162.66","D","E"
"1990","73.47","CARDEDEU","73.81","0.74","202.9","119.65","0","136.55","308.37","F","F"
"2006","66.27","CANOVES I SAMALUS","125","0.44","221.85","0","190.63","0","391.21","F","G"
"2009","51.45","Mataró","85.56","0.92","208.7","0","155.43","0","303.72","E","F"
"1984","72.77","Matadepera","80.95","1.62","223.17","288.42","0","0","343.72","E","F"
"1984","78.13","Matadepera","86","1.19","239.66","309.64","0","0","369.08","F","F"
"1980","52.33","Sant Julià de Vilatorta","218.6","1.19","129.95","0","0","168.24","198.42","E","E"
"2001","30.38","Alella","170.8","2.17","124.31","82.71","28.37","0","154.75","D","E"
"2000","24.42","CARDEDEU","123.01","1.44","147.57","0","73.78","0","144.18","D","D"
"2000","47.88","TONA","117","1.84","146.68","189.99","0","0","226.09","E","E"
"1990","51.71","Cerdanyola del Valles","142.05","1.01","137.67","202.58","0","0","244.95","E","E"
"1995","43.5","Vilanova i la Geltrú","100","1.63","133.96","171.67","0.72","0","205.69","E","E"
"1997","57.08","Canet de Mar","131.22","1.23","181.25","223.95","1.94","0","270.29","E","E"
"1984","79.05","Matadepera","86","1.19","242.45","313.28","0","0","373.39","F","F"
"1989","25.52","Badalona","139.25","1.91","79.42","99.62","0","0","121.01","D","D"
"1826","34.03","Sant Just Desvern","134","1.75","138.27","0","102.82","0","200.91","D","E"
"1962","65.12","NAVÀS","75.39","1","191.5","247.06","8.65","0","310.9","F","F"
"1976","66.61","PALAU SOLITÀ I PLEGAMANS","68.76","0.77","272.49","255.41","0","0","312.03","F","F"
"2016","47.54","Sant Andreu de Lllavaneres","75.1","1.81","120.74","184.03","3.5","0","225.85","E","E"
"2001","68.85","Gironella","200.9","1.17","146.14","0","0","221.37","261.03","E","E"
"1976","83.87","Fonollosa","63","0.8","214.82","0","5.62","263.69","321.88","G","G"
"1983","84.35","Olesa de Montserrat","53.17","0.7","297.27","228.81","80.63","0","429.83","G","G"
"1974","144.21","VALLIRANA","52.18","0.71","316.65","0","6.06","457.26","550.94","G","G"
"1952","72.99","Terrasa","118","1.14","159.62","289","0.48","0","344.85","E","E"
"2005","32.85","Barcelona ","99.27","1.21","167.61","123.24","0","0","157.25","D","E"
"1963","61.87","Castelldefels","125","1.18","205.73","234.52","8.38","0","295.46","E","F"
"2008","29.56","LA GARRIGA","154.8","1.79","117.59","89.37","21.26","0","147.89","D","D"
"2006","23.2","Olost","169.44","2.51","67.64","0","0","49.63","95.38","D","C"
"1990","65.11","Manresa","87.25","1.17","177.53","250.29","6.17","0","309.9","F","F"
"1981","64.4","Rubí","94.2","0.79","264.62","246.17","4.6","0","305.9","F","F"
"1900","67.52","GIRONELLA","82","4.61","121.34","0","0","152.54","275.86","F","F"
"1960","93.33","Sant Cugat del Vallés","79","0.77","244.23","0","6.36","264.11","366.78","G","G"
"2002","35.54","Arenys de Mar","114.53","2.59","113.85","139","0","0","168.41","E","E"
"2002","54.05","Begues","128","1.5","138.1","208.33","4.68","0","257.05","E","E"
"1990","26.66","Matadepera","189","1.56","92.62","71.23","26.32","0","136.19","D","D"
"1970","74.25","Sant Llorenç de Savall","210.14","1.6","163.24","58.44","6.11","184.89","299.46","F","F"
"1972","60.22","VALLIRANA","250","1.11","124.81","0","3.83","189.56","230.97","E","E"
"1981","94.07","LA GARRIGA","159","1.07","205.26","0","0","298.37","359.34","G","G"
"1974","85.22","Matadepera","205.4","0.91","187.99","0","6.38","267.23","327.52","G","G"
"1999","48.17","Sant Feliú de Llobregat","133.43","1.3","152.4","185.67","4.16","0","229.08","E","E"
"2009","21.54","Campins","151.65","0.81","91.54","0","0","0","103.6","C","D"
"1993","84.66","Lliça de Munt","110.24","1.07","263.23","330.8","3.93","0","401.32","G","G"
"1988","59.76","LA PALMA DE CERVELLÓ","90.21","1.46","139.7","0","0","192.16","226.56","E","E"
"1956","59.76","CERDANYOLA DEL VALLES","89.15","0.82","232.6","222.89","0","0","284.03","E","F"
"1980","70.36","Sant Antoni de Vilamajor","160.84","0.9","252.16","0","79.77","0","363.72","E","F"
"1960","65.55","Castelldefels","146.43","1","228.61","156.1","79.2","0","340.51","F","G"
"1978","61.68","Premià de Dalt","99.51","1.32","194.81","236.99","0","0","293.59","E","F"
"1988","79.32","PALAFOLLS","69","0.71","244.23","88.22","168.47","0","441.99","G","G"
"1993","20.61","SANT LLORENÇ D'HORTONS","160","1.89","70.76","0","0.03","0","97.44","C","C"
"1936","47.4","Barcelona ","195","1.59","119.21","184.84","0","0","224.82","E","E"
"2016","10.37","Barcelona ","171.35","1.24","76.78","0","31.32","0","61.2","B","B"
"1931","64.64","Terrasa","114","1.06","248.42","250.42","3.7","0","306.69","E","E"
"1998","38.67","Sant Fost de Campsentelles","90","0.94","133.98","0","8.17","96.09","161.9","E","E"
"1995","58.44","MARTORELL","133.71","1.88","165.09","216.47","11.76","0","280.57","E","F"
"1965","98.45","Castellar del Vallés","77.52","0.82","303.18","388.56","0","0","465.52","G","G"
"1950","92.17","Granollers","60.88","0.89","331.21","0","53.75","0","459.19","G","G"
"2003","47.58","Teià","209.4","1.39","155.63","157.58","23.79","0","234.01","E","E"
"1979","40.1","Rubí","134","1.38","155.49","0","0","0","188.7","E","E"
"1978","51.02","Piera","98","1.08","181.31","157.72","34.06","0","254.24","E","E"
"1945","42.88","Sabadell","50.4","0.76","144.06","0","64.75","0","228.29","E","E"
"1971","41.63","SAnt Antoni de Vilamajor","190.18","0.94","206.1","0","0","133.84","157.81","E","E"
"1990","35.62","dosrius","144.09","1.65","111.21","138.57","0","0","169.03","E","E"
"1977","89.22","Sabadell","178","1.24","229.19","0","43.8","0","438.89","G","G"
"1980","62.06","Gironella","87.67","1.56","176.46","244.25","0","0","293.63","E","F"
"1991","35.6","Barcelona ","306","1.6","116.71","131.1","7.75","0","171.15","E","E"
"1998","35.45","Vilanova i la Geltrú","125.6","1.85","104.76","136.7","0","0","168.6","E","E"
"1973","44.48","PALLEJA","298","1.96","92.86","175.08","0","0","210.47","E","E"
"2006","58.05","Olivella","127","0.71","181.81","225.09","0","0","275.71","E","F"
"1982","74.21","Castelldefels","177.49","0.83","185.41","284","7.98","0","353.56","F","G"
"2006","75.94","BIGUES I RIELLS","123","0.57","293.72","0","229.42","0","448.29","E","F"
"1975","25.95","Terrasa","65.2","0.79","298.92","0","61.59","0","130.85","C","D"
"1984","91.6","Vallromanes","210.4","1.02","185.27","0","0","291.73","349.11","G","G"
"2000","51.03","MEDIONA","56","0.79","241.65","0","144.48","0","291.72","E","F"
"1986","33.95","Terrasa","103","3.63","104.26","134.36","0.27","0","160.4","D","D"
"1880","55.3","Sant Boi de Llobregat","75.8","1.26","185.03","214.73","3.59","0","262.56","E","E"
"1990","80.84","Palafolls","135","1.05","204.1","24.49","0","237.76","313.74","G","F"
"1982","101.43","BIGUES I RIELLS","147.6","1.09","259.83","0","23.27","295.47","404.64","F","F"
"2000","53.24","COLLBATÓ","127","1.99","163.48","0","0","0","252.4","E","E"
"2000","53.24","COLLBATÓ","127","1.99","163.48","0","0","0","252.4","E","E"
"1995","71.59","Manlleu","102.4","0.95","177.72","0","0","230.2","271.41","E","E"
"1997","63.75","Olivella","120","1.16","167.55","0","27.18","176.06","260.68","F","E"
"1973","110.25","Sant Pere de Ribes","133.45","0.74","279.38","427.55","0","0","523.59","G","G"
"1970","45.14","Barcelona ","55","1.31","163.27","0","34.49","0","229.44","E","E"
"1978","40.33","CUBELLES","150.3","0.92","149.21","0","8.72","0","195.72","E","E"
"1997","39.18","Olesa de Montserrat","121","1.89","120.1","155.42","0","0","185.06","E","E"
"1900","66.88","Calella","87.25","1.06","179.98","259.83","0","0","317.5","F","F"
"1975","114.53","PINEDA DE MAR","71.66","0.69","279.04","0","0","359.36","440.01","G","G"
"1979","66.83","AIGUAFREDA","193.79","1.09","194.77","0","60.59","150.39","295.7","F","F"
"1984","56.74","Matadepera","166.89","0.87","188.95","221.51","2.77","0","269.01","E","E"
"1983","90.28","Canyelles","78.23","1.04","195.03","0","2.64","287.49","344.12","G","G"
"1992","97.99","Terrasa","121.65","0.91","248.08","0","0","310.7","374.35","F","F"
"2006","83.19","Sant Pere de Ribes","193","1.38","206.62","327.27","2.18","0","393.72","G","G"
"1979","86.5","SANT SALVADOR DE GUARDIOLA","107.1","1.01","297.56","329.36","10.58","0","412.61","G","G"
"1981","70.51","TORRELLES DE FOIX","40","0.63","254.43","0","4.72","0","336.15","F","G"
"1900","56.79","Collbató","172.67","1.27","207.64","209.08","12.38","0","273","E","F"
"1984","72.13","Castelldefels","90","0.88","257.67","0","0","0","342.04","F","G"
"1972","57.41","Sant Pere de Ribes","78.43","0.98","200.34","0","54.55","0","293.47","E","F"
"1938","39.98","Cabrils","175.85","1.26","145.13","101.16","0.55","0","189.6","E","E"
"1964","49.13","Castelldefels","101.46","0.99","187.12","184.06","0","0","229.18","E","E"
"1974","79.91","Esparreguera","33.17","0.86","273.64","191.49","95.65","0","414.76","G","G"
"1984","64.03","Matadepera","83","1.67","167.69","254.07","0","0","302.34","E","E"
"2000","149.42","LA TORRE DE CLARAMUNT","79.12","0.81","257.37","0","0","476.29","569.16","G","G"
"1998","69.58","TORDERA","78.2","0.86","250.55","0","31.29","0","342.31","F","G"
"1984","47.64","Matadepera","98","2.43","145.95","189.06","0","0","224.98","E","E"
"1984","59.92","Matadepera","84","2.14","183.56","237.76","0","0","282.95","E","E"
"1984","78.74","Matadepera","86","1.61","206.31","312.34","0","0","371.85","F","F"
"1984","78.74","Matadepera","86","1.61","206.31","312.34","0","0","371.85","F","F"
"1970","36.01","Sabadell","120.18","1.7","116.82","0","108.78","0","212.55","E","E"
"1984","77.47","Matadepera","86","1.61","202.92","307.37","0","0","365.82","F","F"
"1976","67.22","PIERA","85.87","0.84","236.45","0","43.03","0","334.26","F","G"
"2003","17.24","Sabadell","200","1.6","54.84","61.04","5.6","0","83.59","C","C"
