"year","emissions","municipality","surface","compactness","demand","gas_consume","electricity_consume","diesel_consume","eco_consume","co2","energy"
"1999","64.88","LA TORRE DE CLARAMUNT","135.95","1.26","155.3","0","2.79","205.67","247.92","F","E"
"1900","77.76","Jorba","88","0.86","275.6","256.07","39.98","0","382.85","F","F"
"1890","42.05","El Masnou","106.95","2.04","104.02","165.45","1.07","0","198.97","E","E"
"1993","36.25","ARENYS DE MUNT","165.43","2.32","111.99","140.43","2.6","0","172.19","E","E"
"1980","48.1","Olivella","131.9","1.04","231.56","0","145.3","0","283.92","E","F"
"2006","36.53","Dosrius","115.9","1.21","106.71","0","0","114.32","139.34","E","D"
"2006","66.01","OLIVELLA","163.97","0.95","238.58","232.04","2.21","0","312.62","E","E"
"1980","69.96","ST ANTONI DE VILAMAJOR","220.33","0.91","216.31","274.99","0","0","331.17","F","G"
"2005","32.79","Tiana","213.44","1.27","108.38","105.91","18.44","0","162.05","D","E"
"2006","46.49","Castelldefels","96.32","0.79","219.87","0","140.45","0","274.43","E","F"
"1955","77.05","Castelldefels","53.38","0.77","281.28","237.98","51.61","0","384.04","G","G"
"1984","57.26","Cabrera de Mar","103.62","1.36","178.02","222.61","3.51","0","271.77","E","E"
"1970","84.86","Canyelles","98.93","0.94","247.14","0","20.39","0","405.14","G","G"
"1976","69.34","Balsareny","99","0.65","218.51","273.8","1.04","0","327.85","F","G"
"1983","118.18","MASQUEFA","52.08","0.7","236.6","395.86","3.73","0","559.63","G","G"
"2006","31.82","Vilassar de Dalt","359.61","1","110.33","113.45","9.76","0","154.08","D","E"
"2004","31.1","Piera","156","1.54","112.07","96.89","20.2","0","154.78","D","E"
"1978","44.04","SANT PERE DE VILAMAJOR","139.71","1.19","138.76","171.72","2.32","0","208.88","E","E"
"2000","42.63","Mont Melo","103.08","2.01","111","162.04","5.43","0","203.44","E","E"
"1989","43.93","Vilanova i la Geltrú","92.6","1.08","206.25","0","132.72","0","259.33","E","E"
"1960","52.25","Premià de Dalt","192","1.01","177.55","199.43","6.01","0","249.07","E","E"
"1900","43.6","VILASSAR DE DALT","120.4","1.54","134.78","170.04","2.26","0","206.76","E","E"
"1980","44.79","Sant Just Desvern","109","1.91","141.88","162.32","11.73","0","216.08","E","E"
"1983","47.14","LLINARS DEL VALLES","126","0.84","184.4","0","36.57","108.34","207.12","E","E"
"1994","38.33","Barcelona ","194.8","0.9","127.05","150.93","0.89","0","181.35","E","E"
"1946","58.48","Barcelona ","148","1.02","184.67","225.65","4.9","0","278.09","E","F"
"1931","64.6","Santa Coloma de Gramanet","90.93","0.93","233.34","205","39.1","0","320.34","F","G"
"2003","47.32","VALLBONA D'ANOIA","130","2.13","125.81","185.4","1.8","0","224.15","E","E"
"1984","65.64","Sabadell","172.63","1.16","202.26","258.31","1.64","0","310.6","F","F"
"1982","82.5","SENTMENAT","87.81","0.78","231.03","0","14.22","250.13","322.7","E","E"
"1981","63.48","Abrera","93.68","0.88","232.16","0","191.79","0","374.76","F","G"
"1993","45.02","Sentmenat","209.52","1.56","132.4","0","20.86","122.56","185.26","E","E"
"1900","37.06","La Palma de Cervelló","107.5","1.45","120.34","144.38","2.04","0","175.79","E","E"
"1965","44.79","Santa Coloma de Gramanet","68","1.48","163.16","16.7","0","0","212.55","E","E"
"1988","12.57","Alella","162.44","3.67","35.34","46.46","0","0","60.37","B","B"
"1985","66.65","TORRELLES DE LLOBREGAT","72.15","0.79","232.8","215.49","2.16","0","315.67","F","F"
"1966","41.32","Sabadell","138.05","1.58","145.33","134.5","3.71","0","196.6","E","E"
"1988","45.2","La Roca del Vallès","118","1.6","139.04","177.28","1.58","0","214.06","E","E"
"2006","100.39","Sant Celoni","85.14","1.14","247.83","396.57","1.38","0","474.61","G","G"
"2004","39.23","Les Botiques de Sitges","205","1.56","106.37","151.47","3.2","0","186.5","E","E"
"1990","20.19","Barcelona ","377.84","2.07","59.31","79.23","0.66","0","95.58","C","C"
"1970","62.59","Premia de Dalt","79.16","0.98","182.53","243.79","1.57","0","296.9","E","F"
"1900","35.63","La Palma de Cervelló","172.11","1.65","127.77","139.7","1.3","0","168.78","E","E"
"1985","50.02","Rubí","122.31","1.05","130.77","0","0","155.85","192.9","E","E"
"2010","32.9","LLIÇA DE VALL","318.9","1.18","123.45","0","19.28","0","164.61","D","E"
"1986","35.1","Santpedor","124","5.1","109.69","136.37","0","0","166.59","E","E"
"1977","58.84","Cubelles","141.49","0.78","182.89","229.08","3.38","0","279.2","E","F"
"1938","48.22","SANT ANTONI VILAMAJOR","110.48","1.42","174.95","186.47","3.73","0","229.18","E","E"
"1975","66.93","NAVARCLES","78","1.07","214.19","0","6.42","201.15","253.93","F","E"
"2005","17.28","ESPLUGUES DE LLOBREGAT","385.16","1.23","67.64","54.63","10.6","0","85.73","C","C"
"1975","49.12","SANT ISCLE DE VALLALTA","162","1.05","183.01","149.79","34.36","0","245.39","E","E"
"1975","66.47","Palau Solita i Plegamans","90","0.9","206.31","254.05","7.39","0","316.76","F","F"
"1992","57.25","Canoves i Samalus","130","1.06","138.5","0","5.61","178.1","220.94","E","E"
"1900","53.99","Sant Antoni de Vilamajor","462","1.43","108.12","0","2.29","171.15","206.26","E","E"
"1920","39.85","Argentona ","165.24","1.25","147.66","153.73","2.95","0","189.33","E","E"
"1940","42.45","LA LLACUNA","97","1.46","155.56","0","11.25","0","206.32","E","E"
"1949","57.28","Mataró","67","0.94","178.63","223.07","3.21","0","271.72","E","E"
"1970","42.1","Sant Llorenç Savall","123.97","2.46","128.3","0","127.2","0","248.54","E","E"
"1989","48.78","CUBELLES","105","1.2","180.91","47.88","55.61","0","252.21","E","E"
"2007","58.3","ARENYS DE MUNT","132.29","1.06","165.83","0","3.43","183.82","223.42","E","E"
"2008","11.78","TARADELL","138.5","1.03","88.8","40.91","3.07","0","55.54","B","B"
